     EPOCH     gpu_mem     box       obj       cls     total   targets  img_size         P         R     mAP@.5  mAP@.5-.95 val_loss(box, obj, cls)
                                                                                 precision    recall    mAP_0.5  mAP_0.5:0/95  box    object    class
                                                                                    ìKçáó¶    çƒåªó¶   ï°êîclassïΩãœìKçáó¶    loss     loss     loss
-----------------------------------------------------------------------------------------------------------------------------------------------------
     0/299     3.81G   0.06137   0.02314   0.05899    0.1435         7      1280         0         0 0.0009165 0.0001907   0.04028    0.0164    0.0456
     1/299     7.38G   0.05249   0.02003   0.05658    0.1291         9      1280         0         0  0.001736 0.0004825   0.03712   0.01393   0.04256
     2/299     7.38G   0.05061   0.01904   0.05593    0.1256         5      1280         0         0  0.003223   0.00121   0.03587   0.01319   0.04141
     3/299     7.38G   0.05028   0.01879   0.05605    0.1251         4      1280      0.05  0.001667  0.003563  0.001009   0.03449   0.01302   0.04081
     4/299     7.38G    0.0495    0.0192    0.0562    0.1249        20      1280         0         0  0.004293   0.00109   0.03502   0.01228   0.04015
     5/299     7.38G   0.04828   0.01886   0.05542    0.1226         7      1280     0.075  0.001928   0.01049  0.002571    0.0316   0.01232   0.03921
     6/299     7.38G   0.04607   0.01814   0.05365    0.1178         4      1280     0.025  0.001136   0.01147   0.00308   0.03189   0.01236   0.03884
     7/299     7.38G   0.04539   0.01823   0.05462    0.1182         7      1280         0         0   0.01448  0.004063   0.02971   0.01237     0.039
     8/299     7.38G   0.04367   0.01858   0.05402    0.1163        13      1280         0         0   0.01129  0.002507   0.02922   0.01211   0.03965
     9/299     7.38G   0.04161   0.01859   0.05441    0.1146         8      1280     0.025 0.0006757   0.01944  0.007774     0.026   0.01313   0.03826
    10/299     7.38G   0.03878   0.01892   0.05392    0.1116         6      1280   0.02718  0.006084   0.01558  0.004764   0.02627   0.01291   0.03852
    11/299     7.38G   0.03657   0.01872   0.05295    0.1082        13      1280   0.03103   0.01146   0.03434    0.0121   0.02427   0.01295   0.03783
    12/299     7.38G   0.03527   0.01872   0.05285    0.1068        10      1280    0.1045   0.03742   0.04457   0.01882    0.0232   0.01346   0.03787
    13/299     7.38G   0.03481   0.01886   0.05342    0.1071        11      1280   0.02763   0.03693   0.03785    0.0147   0.02292   0.01333   0.03673
    14/299     7.38G   0.03342   0.01868   0.05265    0.1047        10      1280   0.05319   0.03137    0.0423   0.01899   0.02235   0.01275   0.03635
    15/299     7.38G   0.03186   0.01772   0.05208    0.1017         6      1280    0.0826   0.03303    0.0639   0.02795   0.02194   0.01272   0.03632
    16/299     7.38G   0.03062   0.01733    0.0501   0.09804         7      1280    0.1651   0.03908   0.06602   0.02858   0.02052   0.01249   0.03616
    17/299     7.38G   0.03052    0.0176   0.05082   0.09894        13      1280     0.152   0.04446   0.09331   0.04307      0.02   0.01175   0.03513
    18/299     7.38G   0.02991   0.01763   0.04956    0.0971         8      1280    0.1983   0.06633   0.09518    0.0449   0.02005   0.01307   0.03527
    19/299     7.38G   0.02907   0.01734   0.04921   0.09562        11      1280    0.1676    0.0608    0.1091   0.04885   0.01955   0.01199    0.0342
    20/299     7.38G   0.02946   0.01732   0.04958   0.09637        14      1280    0.1939   0.06253    0.1077   0.04582    0.0195   0.01138   0.03379
    21/299     7.38G   0.02864   0.01763   0.04874   0.09501        15      1280     0.213   0.08187    0.1361   0.06568   0.01828   0.01138   0.03329
    22/299     7.38G   0.02767   0.01682   0.04734   0.09184         8      1280    0.1977   0.08211    0.1404   0.07338   0.01844    0.0114   0.03273
    23/299     7.38G   0.02787   0.01662   0.04727   0.09176        10      1280    0.2396    0.1058    0.1569   0.08177   0.01843   0.01139   0.03237
    24/299     7.38G   0.02839   0.01729   0.04841   0.09409        15      1280    0.1839    0.1312    0.1371   0.07502   0.01863   0.01255   0.03163
    25/299     7.38G   0.02699   0.01637   0.04676   0.09012         7      1280    0.2063    0.1621    0.1679   0.07796   0.01803   0.01235    0.0316
    26/299     7.38G   0.02711   0.01715   0.04654    0.0908        21      1280    0.2358    0.1631     0.171   0.08651    0.0177   0.01218   0.03118
    27/299     7.38G   0.02707   0.01655   0.04631   0.08993         6      1280     0.195      0.14    0.1739   0.09403   0.01781   0.01105   0.03053
    28/299     7.38G   0.02692   0.01697    0.0459   0.08979        10      1280    0.2703    0.1687    0.1954   0.09538   0.01909   0.01117   0.02962
    29/299     7.38G    0.0266    0.0171   0.04564   0.08933        13      1280    0.2099    0.1307    0.1847   0.09337   0.01811   0.01119   0.02981
    30/299     7.38G   0.02561   0.01605   0.04367   0.08534         8      1280    0.2889     0.168    0.2237    0.1185   0.01806    0.0113    0.0286
    31/299     7.38G   0.02511   0.01547   0.04334   0.08392         6      1280    0.2554    0.2016    0.2168    0.1103   0.01713   0.01199   0.02901
    32/299     7.38G   0.02598   0.01581   0.04378   0.08557         8      1280    0.2598    0.2105    0.2068    0.1099   0.01791   0.01191   0.02888
    33/299     7.38G   0.02516   0.01561   0.04294   0.08371         6      1280    0.3137    0.2142    0.2307    0.1149   0.01736   0.01146   0.02879
    34/299     7.38G   0.02553   0.01608   0.04331   0.08493        14      1280    0.2544    0.2184    0.2462    0.1296   0.01751   0.01139   0.02757
    35/299     7.38G   0.02538   0.01572   0.04288   0.08399         9      1280    0.3429    0.2574    0.2782    0.1501   0.01748   0.01138   0.02686
    36/299     7.38G   0.02546   0.01559   0.04283   0.08389         8      1280    0.3362    0.2858    0.2774    0.1355   0.01812   0.01153   0.02684
    37/299     7.38G   0.02437   0.01551   0.04136   0.08124         4      1280    0.3007    0.2408    0.2704    0.1426   0.01679    0.0109   0.02659
    38/299     7.38G   0.02491   0.01595   0.04177   0.08263         1      1280    0.3927    0.2594    0.3024    0.1518   0.01742   0.01103   0.02583
    39/299     7.38G   0.02434   0.01531   0.04023   0.07989        14      1280    0.3706    0.3095    0.3191    0.1805   0.01609   0.01096   0.02567
    40/299     7.38G   0.02412   0.01503    0.0399   0.07904         7      1280    0.4214    0.2736    0.3113    0.1643   0.01692   0.01071   0.02524
    41/299     7.38G   0.02429   0.01548   0.04057   0.08033         7      1280    0.3267    0.3116    0.3119    0.1744   0.01664   0.01115   0.02519
    42/299     7.38G   0.02415   0.01494    0.0396   0.07868         1      1280    0.4226    0.2591    0.3127    0.1756   0.01655   0.01048   0.02549
    43/299     7.38G   0.02477   0.01546   0.03967   0.07991         5      1280    0.3861     0.347    0.3388    0.1908   0.01632   0.01087   0.02468
    44/299     7.38G   0.02439   0.01498   0.03956   0.07893         7      1280    0.4263    0.3059     0.334    0.1795   0.01659   0.01071   0.02422
    45/299     7.38G   0.02397   0.01505   0.03862   0.07764         3      1280    0.4281    0.3447    0.3618    0.1981   0.01681    0.0102   0.02359
    46/299     7.38G   0.02402   0.01517   0.03849   0.07768        13      1280    0.3927    0.3454    0.3493    0.2025   0.01612   0.01031   0.02357
    47/299     7.38G   0.02449     0.015   0.03765   0.07713         4      1280    0.4028    0.3704    0.3655     0.201   0.01708   0.01027   0.02264
    48/299     7.38G   0.02434   0.01526    0.0379    0.0775         7      1280     0.389    0.3778    0.3571    0.2008   0.01627   0.01128   0.02326
    49/299     7.38G   0.02385   0.01495   0.03738   0.07619         3      1280     0.377     0.396    0.3725    0.2074    0.0163   0.01085    0.0225
    50/299     7.38G   0.02332   0.01449   0.03632   0.07414         7      1280    0.3724    0.3903    0.3751    0.1952    0.0172   0.01049   0.02248
    51/299     7.38G   0.02389   0.01497   0.03648   0.07534         3      1280    0.3824    0.4165     0.386    0.2103   0.01686   0.01068   0.02179
    52/299     7.38G   0.02342   0.01462   0.03595   0.07399         4      1280     0.441    0.4101    0.3962    0.2114   0.01775   0.01067    0.0221
    53/299     7.38G   0.02427   0.01503   0.03615   0.07545        11      1280    0.4282    0.4352    0.4032    0.2339   0.01601   0.01078   0.02152
    54/299     7.38G   0.02399   0.01477   0.03548   0.07424         4      1280    0.4472    0.4135    0.4021    0.2148   0.01698   0.01016   0.02173
    55/299     7.38G   0.02401    0.0147   0.03583   0.07453         5      1280    0.4337    0.4289    0.4257    0.2456   0.01602   0.01002   0.02083
    56/299     7.38G   0.02304    0.0142   0.03482   0.07206        12      1280    0.4339    0.4084    0.4089    0.2364    0.0165   0.01026   0.02101
